combination_index	tf_count	combination	run	seed	source	fit_xml	single_hit_rates
71	4	ATF1+ATF4+CREB3+CREB5	3	300423	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_03_seed_300423\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_03_seed_300423\fit.output.rates
71	4	ATF1+ATF4+CREB3+CREB5	4	300424	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_04_seed_300424\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_04_seed_300424\fit.output.rates
72	4	ATF1+ATF4+CREB3+CREM	1	300427	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_01_seed_300427\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_01_seed_300427\fit.output.rates
72	4	ATF1+ATF4+CREB3+CREM	2	300428	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_02_seed_300428\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_02_seed_300428\fit.output.rates
72	4	ATF1+ATF4+CREB3+CREM	3	300429	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_03_seed_300429\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_03_seed_300429\fit.output.rates
72	4	ATF1+ATF4+CREB3+CREM	4	300430	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_04_seed_300430\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREM\run_04_seed_300430\fit.output.rates
73	4	ATF1+ATF4+CREB5+CREM	1	300433	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_01_seed_300433\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_01_seed_300433\fit.output.rates
73	4	ATF1+ATF4+CREB5+CREM	2	300434	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_02_seed_300434\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_02_seed_300434\fit.output.rates
73	4	ATF1+ATF4+CREB5+CREM	3	300435	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_03_seed_300435\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_03_seed_300435\fit.output.rates
73	4	ATF1+ATF4+CREB5+CREM	4	300436	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_04_seed_300436\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB5+CREM\run_04_seed_300436\fit.output.rates
